,layer,strip,pedestal_end0,std_dev_end0,pedestal_per_time_sample_end0,pedestal_per_time_sample_std_dev_end0,pedestal_end1,std_dev_end1,pedestal_per_time_sample_end1,pedestal_per_time_sample_std_dev_end1
157,17,1,728,9.461793191825825,91,1.4097028165050811,792,10.309752859372647,99,1.2107907266801765
158,17,2,760,10.027865832927084,95,1.1288890239419236,760,10.209721548440562,95,1.3442497595578071
159,17,3,728,12.268375118970694,91,1.6744191944906055,760,10.517389083937257,95,1.058749964444082
160,17,4,808,12.086454086552612,101,2.113557026251549,808,12.085823246767806,101,1.7064805754568424
161,17,5,760,15.001093717378158,95,1.2689541463054748,824,14.169205055421472,103,1.414563675227854
162,17,6,760,14.898798528369904,95,1.4472980639680768,824,14.559839709976602,103,2.168175679000962
163,17,7,728,12.32912966390334,91,1.4907195798422168,808,13.141840566940628,101,1.7052259342835971
164,17,8,760,9.571916346879735,95,1.0651685410029936,792,11.379654714601186,99,1.324596380323613
165,17,9,824,8.886286265851288,103,1.6828454402140212,840,10.019893875361104,105,1.474245590528075
166,17,10,760,9.518117167148633,95,1.1225439225247575,856,10.814823853728818,107,1.5112742547281277
167,17,11,824,10.263302603074925,103,1.4112686578989653,728,10.703334118688222,91,1.8850084905243047
168,18,0,808,10.230228129346004,101,1.504390459005419,792,11.673102184524325,99,1.3667614386321405
169,18,1,808,10.36803316527903,101,1.4040482564309025,792,11.875697970553674,99,1.3300122346181418
170,18,2,760,10.045756667666987,95,1.171501343560143,840,10.59349012668961,105,1.5023971401377296
171,18,3,712,12.145252331828528,89,1.5625871477109192,792,12.98178881091411,99,1.2783217374397606
172,18,4,760,13.507272091357216,95,1.0887208446463392,728,28.929892522992255,91,1.6471903227413338
173,18,5,808,15.005218433720325,101,1.481145264472634,760,14.532599930393957,95,1.139757597180155
174,18,6,760,13.648817759756716,95,1.0338601655202495,856,13.57227573359377,107,1.3312387009919175
175,18,7,760,12.20512178691817,95,1.358810994330376,792,13.109685890461115,99,1.3645612497499853
176,18,8,744,11.238106078970327,93,1.682428302842417,728,10.660334827868253,91,1.4133933689526363
177,18,9,760,11.005517128665232,95,1.3981257629302948,728,9.042829477783172,91,1.3883922348774884
178,18,10,808,8.675502491688265,101,1.3150408215755929,824,8.869340002046986,103,1.3734860170614065
179,18,11,840,8.987245129432024,105,1.3616311219636643,808,8.26606117420576,101,1.279955525026384
180,19,0,760,7.770226096017215,95,1.0871452689791743,760,7.715961879602704,95,1.033394339366683
181,19,1,728,8.339775150187824,91,1.4423488465122445,744,9.079600481728876,93,1.4784100895574055
182,19,2,744,5.189509667139285,93,1.2468221634626648,760,10.533574552363673,95,1.2299829069488772
183,19,3,760,12.93634937532332,95,1.3554811502994075,744,12.245761854579598,93,1.4155124349391277
184,19,4,760,13.867373238037183,95,1.3420372118668544,808,13.84119582491719,101,1.4132541975160653
185,19,5,808,10.696500465306848,101,1.763181774443286,792,13.542916280916396,99,1.9581829891528209
186,19,6,792,14.950604292246512,99,1.9358555791083392,792,14.991542780029084,99,2.0062120401315786
187,19,7,760,11.23911575934804,95,1.1463205359749098,744,11.614080474195442,93,1.4650135081668478
188,19,8,792,9.901412647127827,99,1.3161300544916807,808,10.536790647523354,101,1.5927525496782724
189,19,9,760,8.508675503892585,95,1.150940120548708,824,9.37524580266196,103,1.7394067323881688
190,19,10,728,9.13848013543521,91,1.3089825605169454,824,9.243012319514694,103,1.341917704165973
191,19,11,792,11.286028411148356,99,1.3499340779541518,760,9.002523133307962,95,1.193206902333747
